name	d (m)	v1	v2	angle1 (deg)	angle2 (deg)	waypoints
a001	248	v1	v2	52	-165	-0.3614116,50.8329659,0 -0.3612185,50.8330607,0 -0.35918,50.8344837,0 -0.3591156,50.8346328,0
a002	366	v2	v3	-16	-174	-0.3591156,50.8346328,0 -0.3594375,50.8353239,0 -0.3595233,50.8356491,0 -0.359652,50.8364622,0 -0.359695,50.8368688,0 -0.3595018,50.8375057,0 -0.3594375,50.8378715,0
a003	358	v2	v4	83	-84	-0.3591156,50.8346328,0 -0.3578067,50.8347412,0 -0.357399,50.8347683,0 -0.356884,50.8349038,0 -0.356369,50.8348767,0 -0.3540945,50.8347141,0
a004	99	v5	v3	-170	-34	-0.3597164,50.8386846,0 -0.3598237,50.8383052,0 -0.3597164,50.838129,0 -0.3594375,50.8378715,0
a005	379	v3	v6	92	-86	-0.3594375,50.8378715,0 -0.357914,50.8378309,0 -0.3567123,50.8378715,0 -0.3540516,50.8377631,0
a006	229	v4	v7	3	-179	-0.3540945,50.8347141,0 -0.354073,50.8350122,0 -0.3545237,50.8350529,0 -0.3544593,50.835473,0 -0.3543091,50.835866,0 -0.3542233,50.8362454,0 -0.3542125,50.8365096,0
a007	283	v8	v9	29	166	-0.3521848,50.8346192,0 -0.3518414,50.8350122,0 -0.3517556,50.8352968,0 -0.3517556,50.8359202,0 -0.3516912,50.8365571,0 -0.3512836,50.8366248,0 -0.3513908,50.8368959,0
a008	183	v6	v10	91	-85	-0.3540516,50.8377631,0 -0.3523993,50.837736,0 -0.3514552,50.8376818,0
a009	91	v9	v10	-21	-164	-0.3513908,50.8368959,0 -0.3515625,50.8371804,0 -0.3515625,50.8374515,0 -0.3514552,50.8376818,0
a010	322	v9	v11	81	-100	-0.3513908,50.8368959,0 -0.3499746,50.8370449,0 -0.3481507,50.8372211,0 -0.346874,50.8373701,0
a011	49	v10	v12	11	-169	-0.3514552,50.8376818,0 -0.3513265,50.8381154,0
a012	430	v12	v13	97	-7	-0.3513265,50.8381154,0 -0.3486657,50.8379122,0 -0.346992,50.8377902,0 -0.3455758,50.8377496,0 -0.3455329,50.8375328,0
a013	206	v13	v14	77	-92	-0.3455329,50.8375328,0 -0.3443098,50.8377089,0 -0.3433657,50.8377902,0 -0.3426361,50.8378038,0
a014	359	v15	v8	-90	105	-0.3471315,50.8343211,0 -0.3478718,50.8343211,0 -0.3507471,50.8343753,0 -0.3521848,50.8346192,0
a015	315	v14	v16	-12	-172	-0.3426361,50.8378038,0 -0.3427219,50.8380612,0 -0.3426576,50.8382239,0 -0.3424644,50.8386981,0 -0.3422284,50.8393621,0 -0.3420997,50.8396602,0 -0.3420782,50.8402022,0 -0.3419924,50.8405816,0
a016	652	v17	v18	94	171	-0.3404045,50.8432645,0 -0.3398037,50.8432374,0 -0.3387094,50.8431696,0 -0.3369498,50.8430748,0 -0.3354478,50.8429664,0 -0.3332162,50.8428444,0 -0.332036,50.8427225,0 -0.3320146,50.8429122,0 -0.3321004,50.8432645,0
a017	55	v17	v19	-17	163	-0.3404045,50.8432645,0 -0.3406405,50.8437387,0
a018	375	v17	v16	-175	106	-0.3404045,50.8432645,0 -0.340426,50.8430951,0 -0.3403616,50.8428038,0 -0.3403616,50.8426412,0 -0.340308,50.8411372,0 -0.3405225,50.841022,0 -0.3416169,50.8406358,0 -0.34181,50.8405478,0 -0.3419924,50.8405816,0
a019	599	v20	v19	140	36	-0.3432584,50.8483994,0 -0.3427005,50.8479794,0 -0.3415632,50.8471394,0 -0.3407907,50.8465162,0 -0.3405333,50.8462452,0 -0.3405333,50.8460014,0 -0.3408122,50.8455949,0 -0.3409624,50.8452697,0 -0.3408766,50.8449039,0 -0.3406191,50.8442265,0 -0.3404689,50.8438877,0 -0.3406405,50.8437387,0
a020	156	v19	v21	-69	110	-0.3406405,50.8437387,0 -0.34078,50.8437726,0 -0.3425395,50.8437116,0 -0.3428292,50.8437793,0
a021	104	v18	v22	83	-86	-0.3321004,50.8432645,0 -0.3313494,50.8433187,0 -0.3306198,50.8432882,0
a022	591	v23	v24	94	-139	-0.3284311,50.8429257,0 -0.3278732,50.8428986,0 -0.3268433,50.8429528,0 -0.3248906,50.8428851,0 -0.3232598,50.8428851,0 -0.3229165,50.8428986,0 -0.3222942,50.8432238,0 -0.3217578,50.8434406,0 -0.3210926,50.8437116,0 -0.3206635,50.8440232,0
a023	2066	v24	v25	111	-135	-0.3206635,50.8440232,0 -0.3197622,50.8438064,0 -0.3190112,50.8438742,0 -0.3191185,50.8441587,0 -0.3183889,50.8447955,0 -0.317831,50.8449175,0 -0.3167367,50.847153,0 -0.3162217,50.8474646,0 -0.3159428,50.8475594,0 -0.3156638,50.8477762,0 -0.3151703,50.8479929,0 -0.3149343,50.8483045,0 -0.3141618,50.84928,0 -0.3135824,50.8502012,0 -0.3134966,50.8503638,0 -0.3131747,50.850418,0 -0.3129601,50.8507702,0 -0.3125954,50.8513798,0 -0.312016,50.8518675,0 -0.311265,50.8526126,0 -0.3108573,50.8530867,0 -0.3104496,50.8538046,0 -0.3104067,50.8547529,0 -0.3104496,50.856121,0 -0.3102994,50.8575433,0 -0.309999,50.8580986,0 -0.3096557,50.8586404,0 -0.3096557,50.8588165,0 -0.3089046,50.8592906,0
a024	760	v26	v27	139	-51	-0.3329372,50.8512985,0 -0.3321862,50.8507566,0 -0.3313279,50.8502283,0 -0.3297615,50.8492529,0 -0.3284526,50.8483452,0 -0.3277016,50.8479929,0 -0.3269291,50.8475865,0 -0.3253627,50.8468549,0 -0.325014,50.8466771,0
a025	817	v28	v29	105	25	-0.3330231,50.8503096,0 -0.3323793,50.8502012,0 -0.3317142,50.8499167,0 -0.3304696,50.8491851,0 -0.3286457,50.8481826,0 -0.3278518,50.8476678,0 -0.3266501,50.8468007,0 -0.3262424,50.8464349,0 -0.3259635,50.8461775,0 -0.3264356,50.8457033,0 -0.3268647,50.8451342,0
a026	518	v28	v30	-173	0	-0.3330231,50.8503096,0 -0.3331089,50.8498896,0 -0.333066,50.8493342,0 -0.3329802,50.8489277,0 -0.3327656,50.8484942,0 -0.3325939,50.8480878,0 -0.3325081,50.8477355,0 -0.3323579,50.8472072,0 -0.3322721,50.8470039,0 -0.3319716,50.8461097,0 -0.3319716,50.8457304,0
a027	1985	v25	v31	93	90	-0.3089046,50.8592906,0 -0.3085399,50.859277,0 -0.3083038,50.8594125,0 -0.3083253,50.859575,0 -0.3090978,50.8598323,0 -0.3091192,50.8600491,0 -0.308733,50.8600626,0 -0.3081536,50.8599272,0 -0.307703,50.8599949,0 -0.3063083,50.860645,0 -0.3070593,50.8611597,0 -0.3074241,50.8613628,0 -0.3076386,50.861715,0 -0.3076386,50.8622297,0 -0.3074884,50.8625547,0 -0.3073812,50.8638955,0 -0.3075528,50.8656832,0 -0.3076601,50.8662249,0 -0.3075957,50.8670781,0 -0.3071022,50.8679177,0 -0.3068233,50.8683781,0 -0.3066945,50.8691365,0 -0.3062439,50.8700302,0 -0.3057289,50.8707073,0 -0.3052139,50.8711271,0 -0.3052783,50.8713167,0 -0.3065014,50.8718989,0 -0.3071237,50.8720208,0 -0.3078318,50.8723052,0 -0.3083682,50.8725895,0 -0.308733,50.872752,0 -0.3090549,50.8728603,0 -0.309484,50.8728603,0
a028	2417	v25	v32	-68	90	-0.3089046,50.8592906,0 -0.309484,50.8594395,0 -0.309999,50.859575,0 -0.3105783,50.859724,0 -0.310986,50.8597646,0 -0.3124022,50.8598323,0 -0.3139687,50.859873,0 -0.3142047,50.8599272,0 -0.3159213,50.8601439,0 -0.3162217,50.8602116,0 -0.3175092,50.8607398,0 -0.3183675,50.8611732,0 -0.3189468,50.8614577,0 -0.3194833,50.8617421,0 -0.3215003,50.862013,0 -0.3219295,50.8619046,0 -0.3273582,50.8608753,0 -0.3282166,50.860645,0 -0.3322291,50.8599272,0 -0.336349,50.8592499,0 -0.3377867,50.8590468,0 -0.3388596,50.859277,0 -0.3397393,50.8594531,0 -0.3410697,50.8594666,0 -0.3414989,50.8594666,0
a029	41	v32	v33	138	-42	-0.3414989,50.8594666,0 -0.3411126,50.8591957,0
a030	81	v33	v34	-166	14	-0.3411126,50.8591957,0 -0.3413916,50.8584914,0
a031	153	v34	v35	-95	85	-0.3413916,50.8584914,0 -0.3435588,50.8583831,0
a032	141	v32	v36	-84	96	-0.3414989,50.8594666,0 -0.3434944,50.8596021,0
a033	169	v34	v37	-177	3	-0.3413916,50.8584914,0 -0.3415203,50.8569744,0
a034	208	v37	v38	54	-119	-0.3415203,50.8569744,0 -0.3409624,50.8572317,0 -0.3404689,50.8573943,0 -0.3395891,50.85776,0 -0.3390098,50.8579632,0
a035	764	v39	v40	142	-56	-0.3411126,50.8557282,0 -0.3406191,50.8553353,0 -0.3400612,50.8549967,0 -0.3395462,50.8546174,0 -0.3391171,50.8541568,0 -0.3383875,50.8536963,0 -0.3374219,50.8531273,0 -0.3361988,50.8524906,0 -0.3357482,50.8522062,0 -0.3349328,50.8518675,0 -0.3337312,50.8511766,0 -0.3333235,50.8510005,0
a036	203	v33	v38	131	-38	-0.3411126,50.8591957,0 -0.3406191,50.8589249,0 -0.3403187,50.8588165,0 -0.3396106,50.8584508,0 -0.3390098,50.8579632,0
a037	870	v38	v26	158	-33	-0.3390098,50.8579632,0 -0.3387094,50.8575026,0 -0.3384948,50.8571098,0 -0.3382802,50.8566493,0 -0.3381515,50.8561075,0 -0.3379583,50.8556469,0 -0.3377438,50.8553895,0 -0.3372931,50.854929,0 -0.3367567,50.854482,0 -0.3358984,50.853913,0 -0.3349543,50.853317,0 -0.3343534,50.8527209,0 -0.3334522,50.8517998,0 -0.3329372,50.8512985,0
a038	43	v26	v40	-141	39	-0.3329372,50.8512985,0 -0.3333235,50.8510005,0
a039	82	v40	v28	176	-29	-0.3333235,50.8510005,0 -0.3332806,50.8506076,0 -0.3330231,50.8503096,0
a040	572	v28	v41	-63	51	-0.3330231,50.8503096,0 -0.3334522,50.8504451,0 -0.3344607,50.8506076,0 -0.3354049,50.850716,0 -0.3364348,50.850716,0 -0.3375721,50.850716,0 -0.3385162,50.8507025,0 -0.3393745,50.8505128,0 -0.3401899,50.8502012,0 -0.3407264,50.8499269,0
a041	1236	v35	v42	-148	10	-0.3435588,50.8583831,0 -0.3440952,50.8578413,0 -0.3446102,50.8569744,0 -0.3451252,50.8563784,0 -0.345726,50.8557011,0 -0.3459406,50.8551322,0 -0.3458118,50.854211,0 -0.345211,50.8533441,0 -0.3450394,50.8524229,0 -0.3450394,50.8517727,0 -0.3450823,50.8508515,0 -0.3450823,50.8502012,0 -0.3444386,50.8493613,0 -0.3441381,50.8486026,0 -0.3443527,50.8478439,0
a042	107	v20	v42	-82	43	-0.3432584,50.8483994,0 -0.3435588,50.8484265,0 -0.3439879,50.8480878,0 -0.3443527,50.8478439,0
a043	291	v42	v43	180	-3	-0.3443527,50.8478439,0 -0.3443527,50.8476271,0 -0.3441811,50.8470446,0 -0.3441811,50.8465839,0 -0.3441381,50.8462588,0 -0.3440738,50.8458117,0 -0.3440309,50.8452426,0
a044	185	v43	v21	167	-33	-0.3440309,50.8452426,0 -0.3439021,50.8448904,0 -0.3436232,50.8445652,0 -0.3433228,50.8443349,0 -0.3430223,50.843969,0 -0.3428292,50.8437793,0
a045	361	v16	v21	-11	162	-0.3419924,50.8405816,0 -0.3421211,50.8410152,0 -0.342164,50.841232,0 -0.3422499,50.8415166,0 -0.3422928,50.8417605,0 -0.3424215,50.8422754,0 -0.3424644,50.8427089,0 -0.3425503,50.8429664,0 -0.3426147,50.8432916,0 -0.342679,50.8434948,0 -0.3428292,50.8437793,0
a046	1225	v44	v12	161	3	-0.3484297,50.846882,0 -0.3481507,50.8463672,0 -0.3479362,50.8458523,0 -0.3475499,50.8452291,0 -0.3473353,50.8448091,0 -0.3470778,50.84424,0 -0.3469062,50.8437387,0 -0.3467989,50.8431967,0 -0.3466272,50.8427767,0 -0.3461552,50.8421399,0 -0.3460693,50.8418418,0 -0.3462625,50.8413404,0 -0.3466702,50.8410288,0 -0.347271,50.8406494,0 -0.3477645,50.8404868,0 -0.3489017,50.8403242,0 -0.3501034,50.8401345,0 -0.3507042,50.8400125,0 -0.3511333,50.839728,0 -0.3512406,50.8392944,0 -0.3513265,50.8381154,0
a047	375	v44	v43	110	-87	-0.3484297,50.846882,0 -0.348022,50.8467872,0 -0.3477645,50.8465568,0 -0.3469706,50.8461775,0 -0.3460693,50.845622,0 -0.3455329,50.845351,0 -0.3447819,50.8452697,0 -0.3440309,50.8452426,0
a048	751	v44	v45	-13	165	-0.3484297,50.846882,0 -0.3486013,50.8473697,0 -0.3488159,50.8476813,0 -0.3493524,50.848562,0 -0.3497171,50.8491039,0 -0.3502107,50.8497677,0 -0.3503823,50.8501877,0 -0.3506398,50.8504451,0 -0.3509831,50.8507566,0 -0.3512406,50.8512714,0 -0.3516269,50.8524365,0 -0.3519487,50.8532086,0
a049	827	v45	v46	5	-167	-0.3519487,50.8532086,0 -0.3519273,50.8533712,0 -0.3514767,50.8537911,0 -0.3504896,50.8543736,0 -0.3495455,50.8548748,0 -0.3493309,50.8551186,0 -0.3495669,50.8555927,0 -0.3500819,50.8563106,0 -0.3504896,50.8570963,0 -0.3506827,50.8577058,0 -0.3507257,50.8581663,0 -0.3506613,50.8586675,0 -0.3505325,50.8593176,0 -0.3503609,50.8598053,0
