name	d (m)	v1	v2	angle1 (deg)	angle2 (deg)	trackpoints
a1	77	v001	v002	82	-95	-0.386861,50.825767,0 -0.386544,50.825794,0 -0.385769,50.825837,0
a2	144	v001	v003	-8	81	-0.386861,50.825767,0 -0.386912,50.826004,0 -0.387109,50.826332,0 -0.387195,50.826739,0 -0.387421,50.826815,0 -0.387635,50.826793,0
a3	16	v001	v004	-99	81	-0.386861,50.825767,0 -0.387081,50.825746,0
a4	7	v005	v006	-96	84	-0.377685,50.827442,0 -0.377789,50.827435,0
a5	31	v005	v007	84	-96	-0.377685,50.827442,0 -0.37725,50.827472,0
a6	35	v005	v008	173	-7	-0.377685,50.827442,0 -0.377624,50.827126,0
a7	102	v009	v010	-2	178	-0.381184,50.823928,0 -0.381225,50.824844,0
a8	135	v009	v011	-91	89	-0.381184,50.823928,0 -0.383106,50.823897,0
a9	101	v009	v012	91	-89	-0.381184,50.823928,0 -0.37974,50.823909,0
a10	38	v013	v014	-97	78	-0.367749,50.814854,0 -0.36797,50.814837,0 -0.368134,50.814822,0 -0.368284,50.814801,0
a11	8	v014	v015	-59	98	-0.368284,50.814801,0 -0.368339,50.814822,0 -0.368382,50.814826,0
a12	13	v014	v016	145	24	-0.368284,50.814801,0 -0.368257,50.814777,0 -0.368248,50.814759,0 -0.368248,50.814728,0 -0.368272,50.814694,0
a13	39	v017	v018	174	-6	-0.376642,50.827192,0 -0.376582,50.82684,0
a14	31	v017	v019	-96	84	-0.376642,50.827192,0 -0.377083,50.827162,0
a15	36	v017	v020	-6	174	-0.376642,50.827192,0 -0.376697,50.82751,0
a16	11	v021	v022	-11	169	-0.367755,50.812595,0 -0.367784,50.81269,0
a17	34	v021	v023	169	-11	-0.367755,50.812595,0 -0.367663,50.812295,0
a18	100	v021	v024	76	-142	-0.367755,50.812595,0 -0.366794,50.81275,0 -0.366668,50.812782,0 -0.366542,50.812821,0 -0.366448,50.812896,0
a19	45	v025	v026	-2	-178	-0.376501,50.811151,0 -0.376511,50.811331,0 -0.376499,50.811552,0
a20	41	v027	v028	171	-9	-0.367051,50.832323,0 -0.366959,50.83196,0
a21	46	v027	v029	-2	178	-0.367051,50.832323,0 -0.367074,50.832735,0
a22	267	v030	v027	174	-78	-0.368586,50.834131,0 -0.368317,50.832613,0 -0.368068,50.832456,0 -0.367051,50.832323,0
a23	31	v018	v031	-95	85	-0.376582,50.82684,0 -0.377017,50.826816,0
a24	117	v018	v032	178	82	-0.376582,50.82684,0 -0.376549,50.826359,0 -0.377446,50.826284,0
a25	58	v033	v034	-108	72	-0.364954,50.813096,0 -0.36574,50.812939,0
a26	25	v024	v035	1	-172	-0.366448,50.812896,0 -0.366444,50.813023,0 -0.366421,50.813124,0
a27	105	v024	v036	-179	-6	-0.366448,50.812896,0 -0.366451,50.812798,0 -0.366544,50.812403,0 -0.366474,50.81196,0
a28	77	v037	v038	-94	82	-0.355067,50.812962,0 -0.355454,50.812943,0 -0.356149,50.812878,0
a29	240	v037	v039	88	177	-0.355067,50.812962,0 -0.354744,50.812969,0 -0.354906,50.814924,0
a30	52	v037	v040	106	-91	-0.355067,50.812962,0 -0.354753,50.812904,0 -0.354347,50.812908,0
a31	39	v019	v031	173	-7	-0.377083,50.827162,0 -0.377017,50.826816,0
a32	35	v019	v041	-7	173	-0.377083,50.827162,0 -0.377142,50.827479,0
a33	38	v019	v008	-96	84	-0.377083,50.827162,0 -0.377624,50.827126,0
a34	224	v042	v043	-93	87	-0.388859,50.830449,0 -0.39204,50.830361,0
a35	129	v042	v044	87	-93	-0.388859,50.830449,0 -0.387028,50.830511,0
a36	424	v042	v045	3	-177	-0.388859,50.830449,0 -0.388786,50.831302,0 -0.388797,50.831515,0 -0.389018,50.831654,0 -0.389298,50.831724,0 -0.389728,50.831829,0 -0.38995,50.831957,0 -0.390043,50.832132,0 -0.389899,50.833826,0
a37	6	v046	v047	23	-157	-0.37398,50.828719,0 -0.373946,50.828769,0
a38	12	v048	v049	1	-179	-0.379551,50.827313,0 -0.379547,50.827423,0
